Epoch,Host_Propellant_PSI,Host_Bus_Voltage,Host_Heartbeat_ms,ARB_Gyro_Mag,ARB_Temp_C,Target_Status
65,299.76,28.47,15,0.012,14.37,Nominal
66,299.18,28.69,13,0.013,15.43,Nominal
67,299.11,28.49,14,0.014,13.91,Nominal
68,299.76,28.61,14,0.004,15.63,Nominal
69,299.22,28.46,10,0.005,16.38,Nominal
70,298.67,28.43,14,0.005,16.63,Nominal
71,298.73,28.22,14,0.003,15.71,Nominal
72,298.83,28.1,14,0.014,13.62,Nominal
73,299.53,28.45,17,0.011,15.2,Nominal
74,299.34,28.51,12,0.01,17.14,Nominal
75,299.6,28.24,13,0.003,14.13,Nominal
76,299.04,28.49,9,0.02,14.94,Nominal
77,299.32,28.51,14,0.006,16.41,Nominal
78,299.54,28.07,14,0.02,15.62,Nominal
79,299.06,28.32,13,0.003,17.48,Nominal
80,299.44,28.58,17,0.006,14.27,Nominal
81,298.87,28.58,16,0.001,14.01,Nominal
82,299.01,28.27,15,0.012,16.22,Nominal
83,298.99,28.53,14,0.004,13.8,Nominal
84,298.57,28.7,17,0.005,14.8,Nominal
85,299.4,28.66,14,0.003,14.93,Nominal
86,298.91,28.48,13,0.014,16.04,Nominal
87,299.15,28.41,11,0.014,15.61,Nominal
88,299.37,28.37,14,0.019,15.46,Nominal
89,299.34,28.59,16,0.007,14.6,Nominal
90,299.44,28.54,19,0.011,16.22,Nominal
91,299.05,28.63,15,0.004,19.03,Nominal
92,298.88,28.53,13,0.008,15.69,Nominal
93,299.04,28.66,12,0.007,15.1,Nominal
94,298.23,28.52,16,0.012,13.7,Nominal
95,298.34,28.66,11,0.015,14.36,Nominal
96,298.39,28.67,16,0.015,14.79,Nominal
97,298.54,28.34,16,0.006,14.47,Nominal
98,299.23,28.14,15,0.015,14.98,Nominal
99,298.57,28.81,14,0.01,16.78,Nominal
100,298.82,28.55,16,0.008,16.25,Nominal
101,299.65,28.16,15,0.006,14.84,Nominal
102,298.81,28.36,13,0.007,13.79,Nominal
103,299.35,28.65,18,0.019,16.34,Nominal
104,298.5,28.44,14,0.012,14.95,Nominal
105,298.86,28.4,16,0.011,13.27,Nominal
106,298.47,28.78,10,0.009,15.71,Nominal
107,298.77,28.29,17,0.022,16.03,Nominal
108,299.35,28.34,17,0.017,12.57,Nominal
109,298.06,28.54,15,0.006,14.18,Nominal
110,299.13,28.58,16,0.009,14.89,Nominal
111,299.02,28.6,16,0.009,15.73,Nominal
112,298.59,28.68,13,0.011,14.48,Nominal
113,298.16,28.54,16,0.006,14.17,Nominal
114,298.91,28.6,13,0.012,15.73,Nominal
115,298.59,28.45,13,0.017,14.53,Nominal
116,298.97,28.51,17,0.003,15.54,Nominal
117,298.85,28.52,16,0.004,13.89,Nominal
118,299.63,28.54,13,0.008,13.65,Nominal
119,298.7,28.65,13,0.008,15.76,Nominal
120,298.3,28.61,13,0.02,15.25,Nominal
121,298.89,28.51,16,0.015,15.92,Nominal
122,298.9,28.34,13,0.015,14.47,Nominal
123,299.46,28.51,15,0.009,14.2,Nominal
124,299.19,28.49,16,0.009,16.36,Nominal
125,298.94,28.54,14,0.003,13.48,Nominal
126,299.48,28.94,17,0.014,16.25,Nominal
127,298.14,28.4,14,0.012,16.32,Nominal
128,298.41,28.58,14,0.016,15.86,Nominal
129,298.26,28.71,13,0.009,14.31,Nominal
130,298.51,28.52,17,0.009,14.18,Nominal
131,298.01,28.97,13,0.011,14.79,Nominal
132,299.01,28.42,15,0.014,13.7,Nominal
133,298.57,28.56,14,0.003,14.04,Nominal
134,297.93,28.34,12,0.014,15.64,Nominal
135,298.15,28.43,13,0.01,15.65,Nominal
136,298.81,28.55,17,0.005,13.95,Nominal
137,299.06,28.67,15,0.0,15.68,Nominal
138,299.63,28.56,12,0.009,15.45,Nominal
139,300.08,28.75,15,0.017,16.51,Nominal
140,298.82,28.48,14,0.018,15.57,Nominal
141,298.1,28.43,21,0.012,16.06,Nominal
142,297.52,29.04,15,0.02,15.48,Nominal
143,298.71,28.58,14,0.01,15.98,Nominal
144,298.16,28.36,17,0.015,13.71,Nominal
145,298.35,28.36,11,0.008,14.88,Nominal
146,298.24,28.31,15,0.007,14.96,Nominal
147,298.47,28.69,18,0.007,14.76,Nominal
148,299.06,28.43,14,0.0,15.44,Nominal
149,298.6,28.53,11,0.016,15.63,Nominal
150,298.43,28.49,14,0.007,15.39,Nominal
151,297.98,28.65,17,0.006,14.82,Nominal
152,297.65,28.33,15,0.004,14.26,Nominal
153,298.24,28.28,13,0.009,16.1,Nominal
154,298.44,28.54,13,0.019,15.35,Nominal
155,299.34,28.62,13,0.02,13.98,Nominal
156,298.51,28.57,15,0.002,14.81,Nominal
157,298.93,28.34,17,0.008,13.26,Nominal
158,298.18,28.64,17,0.005,15.04,Nominal
159,297.83,28.35,15,0.015,14.8,Nominal
160,297.93,28.4,12,0.011,14.43,Nominal
161,298.04,28.31,12,0.007,16.58,Nominal
162,299.45,28.76,16,0.01,13.84,Nominal
163,297.97,28.63,12,0.008,15.71,Nominal
164,298.79,28.62,14,0.018,17.19,Nominal
165,297.91,28.75,15,0.013,16.08,Nominal
166,298.81,29.06,12,0.013,14.97,Nominal
167,298.53,28.16,12,0.003,13.87,Nominal
168,298.25,28.35,14,0.01,13.64,Nominal
169,298.3,28.38,16,0.02,14.59,Nominal
170,297.98,28.33,17,0.017,14.31,Nominal
171,298.52,28.28,16,0.001,14.28,Nominal
172,298.06,28.44,15,0.008,14.67,Nominal
173,297.67,28.26,13,0.004,14.9,Nominal
174,297.63,28.57,12,0.019,15.49,Nominal
175,298.35,28.51,13,0.011,13.76,Nominal
176,299.04,28.6,15,0.006,14.32,Nominal
177,298.32,28.6,15,0.01,14.84,Nominal
178,298.17,28.62,10,0.003,14.8,Nominal
179,298.36,28.43,13,0.005,16.84,Nominal
180,298.86,28.92,17,0.01,15.23,Nominal
181,298.31,28.55,15,0.014,13.39,Nominal
182,297.98,28.13,12,0.0,15.42,Nominal
183,298.73,28.3,19,0.008,15.55,Nominal
184,298.38,28.15,14,0.015,14.87,Nominal
185,298.93,28.5,15,0.003,13.79,Nominal
186,298.24,28.48,15,0.011,16.76,Nominal
187,297.53,28.41,14,0.01,13.93,Nominal
188,297.44,28.9,13,0.019,15.66,Nominal
189,298.94,28.61,19,0.009,15.2,Nominal
190,298.97,28.65,17,0.009,15.6,Nominal
191,298.01,28.31,16,0.014,16.71,Nominal
192,297.9,28.3,16,0.003,15.56,Nominal
193,298.81,28.51,12,0.009,14.44,Nominal
194,297.52,28.53,17,0.008,16.11,Nominal
195,297.61,28.13,13,0.009,14.37,Nominal
196,298.37,28.46,15,0.014,15.16,Nominal
197,297.84,28.5,11,0.013,13.71,Nominal
198,298.03,28.46,10,0.006,13.97,Nominal
199,297.94,28.34,15,0.011,15.05,Nominal
200,298.18,28.39,13,0.017,15.37,Nominal
201,298.7,28.46,11,0.006,13.3,Nominal
202,298.03,28.52,16,0.011,15.5,Nominal
203,298.3,28.62,19,0.009,14.18,Nominal
204,296.94,28.72,17,0.01,16.28,Nominal
205,297.93,28.44,14,0.002,14.65,Nominal
206,297.53,28.41,15,0.017,13.88,Nominal
207,297.33,28.59,16,0.006,15.08,Nominal
208,297.49,28.62,17,0.015,14.08,Nominal
209,297.75,28.41,14,0.007,16.27,Nominal
210,298.37,28.66,15,0.007,15.0,Nominal
211,297.24,28.7,15,0.016,14.85,Nominal
212,297.9,28.76,16,0.015,15.59,Nominal
213,297.64,28.86,14,0.011,14.0,Nominal
214,297.71,28.33,14,0.014,13.71,Nominal
215,298.36,28.5,17,0.009,15.41,Nominal
216,298.12,28.5,17,0.01,13.9,Nominal
217,298.51,28.48,15,0.007,13.9,Nominal
218,297.75,28.37,18,0.015,15.84,Nominal
219,297.47,28.2,14,0.007,15.53,Nominal
220,297.7,28.52,18,0.017,13.75,Nominal
221,297.92,28.35,16,0.008,14.38,Nominal
222,297.88,28.52,21,0.01,14.1,Nominal
223,297.24,28.34,12,0.014,16.78,Nominal
224,297.81,28.28,13,0.01,15.91,Nominal
225,297.87,28.55,15,0.009,14.58,Nominal
226,299.01,28.53,15,0.01,15.58,Nominal
227,298.68,28.62,18,0.014,13.64,Nominal
228,297.3,28.94,13,0.007,14.33,Nominal
229,297.58,28.56,16,0.009,15.1,Nominal
230,296.98,28.6,17,0.01,15.45,Nominal
231,297.4,28.28,16,0.014,14.9,Nominal
232,297.85,28.24,13,0.01,15.25,Nominal
233,298.28,28.82,17,0.019,15.08,Nominal
234,297.3,28.32,17,0.009,14.84,Nominal
235,297.33,28.29,16,0.009,14.7,Nominal
236,296.58,28.49,15,0.009,14.57,Nominal
237,297.56,28.48,15,0.003,15.23,Nominal
238,297.1,28.32,14,0.005,15.41,Nominal
239,297.35,28.44,16,0.007,15.2,Nominal
240,297.17,28.75,15,0.016,13.82,Nominal
241,297.55,28.34,13,0.01,14.0,Nominal
242,296.71,28.22,12,0.008,15.4,Nominal
243,296.85,28.69,13,0.016,16.47,Nominal
244,298.63,28.6,15,0.018,15.15,Nominal
245,296.92,28.38,14,0.016,14.59,Nominal
246,297.0,28.18,15,0.006,15.22,Nominal
247,298.46,28.35,16,0.008,13.86,Nominal
248,298.98,28.49,13,0.019,16.31,Nominal
249,296.93,28.73,17,0.011,15.19,Nominal
250,297.32,28.29,14,0.009,14.33,Nominal
251,297.67,28.48,14,0.014,14.83,Nominal
252,298.35,28.64,15,0.015,14.47,Nominal
253,296.99,28.02,11,0.007,16.31,Nominal
254,297.35,28.71,13,0.011,14.8,Nominal
255,297.85,28.26,16,0.015,15.16,Nominal
256,297.67,28.57,11,0.004,15.57,Nominal
257,297.25,28.55,17,0.01,14.26,Nominal
258,297.36,28.72,18,0.004,15.19,Nominal
259,296.73,28.61,14,0.005,15.27,Nominal
260,297.29,28.02,15,0.007,13.45,Nominal
261,297.27,28.34,17,0.012,15.25,Nominal
262,297.5,28.53,14,0.008,14.95,Nominal
263,297.1,28.46,16,0.007,15.13,Nominal
264,297.6,28.6,13,0.01,15.04,Nominal
265,297.87,28.66,14,0.004,15.26,Nominal
266,297.43,28.62,13,0.012,16.34,Nominal
267,297.51,28.46,15,0.016,13.82,Nominal
268,297.36,28.13,17,0.01,14.66,Nominal
269,297.32,28.41,14,0.009,15.67,Nominal
270,296.95,28.58,12,0.012,15.48,Nominal
271,297.46,28.28,12,0.0,15.46,Nominal
272,297.24,28.63,15,0.013,17.75,Nominal
273,298.33,28.68,18,0.026,15.61,Nominal
274,298.06,28.53,15,0.009,16.13,Nominal
275,297.45,27.89,14,0.009,14.69,Nominal
276,296.87,28.24,16,0.014,14.01,Nominal
277,296.68,28.88,14,0.018,14.69,Nominal
278,297.82,28.39,14,0.015,15.71,Nominal
279,297.35,28.1,13,0.001,15.41,Nominal
280,297.45,28.75,17,0.013,15.4,Nominal
281,296.33,28.5,9,0.023,14.79,Nominal
282,297.65,28.72,16,0.013,14.63,Nominal
283,297.41,28.56,14,0.004,14.82,Nominal
284,296.61,28.59,14,0.011,15.72,Nominal
285,296.92,28.57,18,0.004,15.84,Nominal
286,297.28,28.64,13,0.016,13.99,Nominal
287,297.16,28.96,13,0.005,15.76,Nominal
288,296.98,28.69,14,0.01,14.35,Nominal
289,297.07,28.18,15,0.006,15.47,Nominal
290,296.98,28.59,14,0.007,14.81,Nominal
291,297.17,28.73,11,0.017,16.57,Nominal
292,297.82,28.74,13,0.011,14.58,Nominal
293,295.8,28.41,17,0.007,15.18,Nominal
294,296.95,28.73,15,0.004,15.61,Nominal
295,297.15,28.69,15,0.001,14.13,Nominal
296,297.2,29.01,14,0.004,14.93,Nominal
297,296.85,28.35,13,0.011,14.73,Nominal
298,296.15,28.4,18,0.015,14.49,Nominal
299,297.18,28.44,14,0.007,14.56,Nominal
300,297.87,28.4,14,0.018,16.11,Nominal
301,296.23,28.32,17,0.006,14.4,Nominal
302,297.42,27.95,13,0.009,15.57,Nominal
303,296.81,28.41,13,0.005,15.31,Nominal
304,296.94,28.57,15,0.015,13.6,Nominal
305,296.43,28.4,15,0.02,15.52,Nominal
306,296.78,28.89,15,0.001,13.59,Nominal
307,297.59,28.5,19,0.008,15.63,Nominal
308,297.22,28.76,15,0.016,14.49,Nominal
309,297.78,28.55,10,0.003,15.01,Nominal
310,297.5,28.67,15,0.013,13.71,Nominal
311,297.12,28.56,15,0.016,15.12,Nominal
312,297.76,28.77,15,0.01,15.93,Nominal
313,297.1,28.51,15,0.013,14.19,Nominal
314,297.28,28.6,14,0.019,14.39,Nominal
315,296.71,28.57,14,0.02,15.45,Nominal
316,296.88,28.44,16,0.01,15.48,Nominal
317,296.49,28.58,13,0.007,12.57,Nominal
318,297.32,28.95,13,0.005,17.02,Nominal
319,296.23,28.45,21,0.015,15.53,Nominal
320,297.2,28.58,13,0.003,15.7,Nominal
321,296.7,28.75,15,0.009,14.86,Nominal
322,297.37,28.73,12,0.011,13.14,Nominal
323,297.15,28.5,15,0.007,15.67,Nominal
324,297.68,28.02,13,0.011,14.43,Nominal
325,297.12,28.6,14,0.023,15.54,Nominal
326,295.96,28.06,17,0.009,14.78,Nominal
327,296.7,28.79,15,0.008,15.24,Nominal
328,296.14,28.53,16,0.015,14.23,Nominal
329,296.46,28.7,11,0.011,15.86,Nominal
330,297.46,28.32,18,0.017,13.81,Nominal
331,297.02,28.19,12,0.011,17.25,Nominal
332,296.34,28.55,18,0.009,17.24,Nominal
333,296.17,28.49,17,0.001,16.63,Nominal
334,296.68,28.4,16,0.002,16.28,Nominal
335,296.05,28.52,13,0.001,14.92,Nominal
336,296.31,29.05,15,0.012,16.17,Nominal
337,296.79,28.67,14,0.003,14.9,Nominal
338,297.21,28.71,15,0.016,13.45,Nominal
339,296.92,28.67,14,0.01,16.5,Nominal
340,295.46,28.8,10,0.009,16.13,Nominal
341,296.75,28.46,17,0.006,14.97,Nominal
342,296.62,28.09,14,0.013,13.77,Nominal
343,296.79,28.46,14,0.006,14.41,Nominal
344,297.38,28.66,13,0.005,13.18,Nominal
345,295.53,28.31,15,0.016,15.95,Nominal
346,296.25,28.46,13,0.012,13.4,Nominal
347,296.83,28.36,10,0.009,15.29,Nominal
348,295.74,28.8,15,0.013,14.16,Nominal
349,297.26,28.65,16,0.01,13.57,Nominal
350,296.69,28.63,14,0.012,15.24,Nominal
351,296.92,28.62,12,0.006,14.67,Nominal
352,296.2,28.49,15,0.02,15.84,Nominal
353,296.89,28.54,12,0.007,13.73,Nominal
354,297.0,28.26,12,0.018,14.24,Nominal
355,296.57,28.06,13,0.009,12.61,Nominal
356,296.57,28.53,16,0.014,12.82,Nominal
357,296.57,28.56,14,0.014,16.8,Nominal
358,296.0,28.74,14,0.016,17.08,Nominal
359,296.34,28.81,18,0.006,15.09,Nominal
360,296.33,28.81,15,0.015,14.18,Nominal
361,296.59,28.3,15,0.019,14.7,Nominal
362,296.89,28.43,14,0.009,15.87,Nominal
363,295.85,28.6,13,0.01,14.49,Nominal
364,296.31,29.01,10,0.007,15.24,Nominal
365,297.1,28.8,16,0.008,14.99,Nominal
366,295.98,28.72,15,0.019,14.43,Nominal
367,295.93,28.42,14,0.005,14.47,Nominal
368,296.43,28.32,14,0.005,15.29,Nominal
369,296.74,28.66,16,0.018,14.02,Nominal
370,296.31,28.28,11,0.013,15.45,Nominal
371,296.96,28.45,13,0.021,14.53,Nominal
372,296.72,28.48,12,0.008,15.13,Nominal
373,296.7,28.82,18,0.011,16.38,Nominal
374,296.55,28.43,16,0.007,14.83,Nominal
375,297.42,28.01,10,0.011,15.92,Nominal
376,296.15,28.6,11,0.001,13.21,Nominal
377,295.24,28.36,14,0.013,14.53,Nominal
378,297.03,28.51,14,0.012,15.03,Nominal
379,295.99,28.48,12,0.01,16.92,Nominal
380,296.26,28.45,18,0.008,13.04,Nominal
381,296.85,28.66,15,0.006,14.9,Nominal
382,295.39,28.19,15,0.014,16.46,Nominal
383,295.55,28.4,13,0.004,14.21,Nominal
384,295.37,28.64,16,0.013,14.79,Nominal
385,295.76,28.38,14,0.02,15.33,Nominal
386,296.37,28.18,14,0.017,15.18,Nominal
387,296.4,28.63,16,0.002,16.57,Nominal
388,296.27,28.72,11,0.007,15.45,Nominal
389,295.41,28.49,18,0.012,16.33,Nominal
390,294.95,28.11,15,0.01,14.64,Nominal
391,296.13,28.64,17,0.003,14.26,Nominal
392,295.85,28.17,12,0.012,14.77,Nominal
393,296.31,28.56,13,0.01,13.84,Nominal
394,296.42,28.32,12,0.02,15.48,Nominal
395,296.13,28.27,15,0.009,14.61,Nominal
396,296.43,28.41,15,0.016,14.33,Nominal
397,296.15,28.46,14,0.004,15.5,Nominal
398,296.29,28.37,12,0.005,13.86,Nominal
399,295.67,28.62,12,0.014,15.77,Nominal
400,295.92,28.41,14,0.015,14.52,Nominal
401,296.1,28.7,14,0.005,16.16,Nominal
402,296.4,28.56,13,0.01,14.61,Nominal
403,295.78,28.36,18,0.003,15.63,Nominal
404,296.23,28.33,14,0.009,15.18,Nominal
405,295.83,28.17,17,0.014,15.74,Nominal
406,295.89,28.56,13,0.008,15.11,Nominal
407,296.35,28.43,15,0.009,13.34,Nominal
408,294.93,28.03,14,0.004,16.01,Nominal
409,295.27,28.39,11,0.007,14.91,Nominal
410,295.17,28.32,17,0.019,15.79,Nominal
411,294.73,28.82,14,0.01,15.69,Nominal
412,295.55,28.16,16,0.005,14.23,Nominal
413,296.25,28.21,13,0.008,14.09,Nominal
414,295.73,28.72,14,0.002,15.66,Nominal
415,295.96,28.77,13,0.005,14.7,Nominal
416,296.39,28.35,17,0.017,15.94,Nominal
417,296.5,28.37,15,0.009,14.82,Nominal
418,295.79,28.62,15,0.019,16.02,Nominal
419,296.49,28.03,17,0.01,15.42,Nominal
420,295.85,28.13,17,0.01,15.29,Nominal
421,295.38,28.44,16,0.013,14.63,Nominal
422,295.49,28.81,12,0.003,15.23,Nominal
423,295.04,28.41,13,0.011,16.19,Nominal
424,295.32,28.52,12,0.01,14.95,Nominal
425,295.58,28.73,16,0.017,15.53,Nominal
426,296.15,28.92,15,0.015,15.05,Nominal
427,296.6,28.38,12,0.004,15.12,Nominal
428,295.04,28.5,14,0.016,16.72,Nominal
429,295.91,28.86,12,0.009,16.2,Nominal
430,295.19,28.2,14,0.005,15.08,Nominal
431,295.94,28.71,11,0.011,15.21,Nominal
432,295.62,28.3,16,0.009,14.3,Nominal
433,294.76,28.52,15,0.018,14.83,Nominal
434,296.13,28.45,18,0.012,15.31,Nominal
435,295.36,28.31,16,0.011,15.85,Nominal
436,295.38,28.3,14,0.015,15.75,Nominal
437,295.1,28.56,16,0.015,13.89,Nominal
438,295.3,28.7,12,0.014,15.98,Nominal
439,295.83,28.47,13,0.017,14.91,Nominal
440,295.51,28.51,15,0.013,14.01,Nominal
441,295.76,28.61,10,0.011,16.34,Nominal
442,295.77,28.31,14,0.016,16.46,Nominal
443,296.24,28.65,12,0.01,15.26,Nominal
444,295.4,28.66,15,0.01,15.71,Nominal
445,294.82,29.02,12,0.019,15.77,Nominal
446,296.08,28.42,15,0.018,16.4,Nominal
447,295.37,28.41,15,0.01,15.73,Nominal
448,296.09,28.65,17,0.008,13.67,Nominal
449,295.71,28.66,15,0.017,17.01,Nominal
450,295.44,28.39,13,0.014,16.07,Nominal
451,295.67,28.42,14,0.012,14.49,Nominal
452,296.46,28.61,12,0.008,13.97,Nominal
453,296.52,28.33,15,0.012,15.5,Nominal
454,295.5,28.42,16,0.01,14.72,Nominal
455,295.54,28.52,19,0.007,15.33,Nominal
456,295.99,28.7,13,0.011,15.74,Nominal
457,295.01,28.38,14,0.011,14.43,Nominal
458,295.59,28.13,13,0.008,13.88,Nominal
459,295.4,28.12,15,0.015,15.39,Nominal
460,295.56,28.25,15,0.016,14.47,Nominal
461,294.98,28.24,14,0.015,15.15,Nominal
462,294.59,28.47,17,0.009,13.66,Nominal
463,294.34,28.26,13,0.014,14.75,Nominal
464,294.81,28.36,16,0.01,15.71,Nominal
465,295.13,28.35,16,0.004,15.61,Nominal
466,295.2,28.41,14,0.013,14.21,Nominal
467,296.31,28.76,14,0.011,13.83,Nominal
468,295.88,28.63,19,0.023,15.02,Nominal
469,294.84,28.5,13,0.017,15.56,Nominal
470,295.48,28.41,15,0.014,15.41,Nominal
471,295.09,28.41,13,0.011,14.49,Nominal
472,295.15,28.57,18,0.011,15.3,Nominal
473,295.37,28.62,16,0.005,16.5,Nominal
474,295.58,28.32,13,0.001,15.21,Nominal
475,295.09,28.51,16,0.006,13.37,Nominal
476,295.78,28.09,15,0.01,15.2,Nominal
477,294.67,28.54,13,0.001,17.04,Nominal
478,295.23,28.65,16,0.007,13.71,Nominal
479,296.52,28.44,15,0.009,15.03,Nominal
480,295.32,28.86,15,0.009,14.77,Nominal
481,295.91,28.32,14,0.007,15.1,Nominal
482,295.23,28.54,15,0.008,15.19,Nominal
483,295.47,28.49,15,0.019,16.14,Nominal
484,295.14,28.48,15,0.013,15.08,Nominal
485,295.07,28.48,13,0.007,16.28,Nominal
486,294.76,28.52,18,0.01,14.88,Nominal
487,295.35,28.67,12,0.01,14.65,Nominal
488,294.7,28.78,15,0.006,14.33,Nominal
489,295.45,28.5,14,0.006,13.18,Nominal
490,295.65,28.66,18,0.015,15.28,Nominal
491,295.28,28.36,13,0.008,17.05,Nominal
492,294.94,28.65,13,0.005,15.46,Nominal
493,295.3,28.35,13,0.01,15.69,Nominal
494,294.91,28.72,15,0.011,14.59,Nominal
495,295.53,28.94,12,0.0,14.76,Nominal
496,294.13,28.48,14,0.01,15.98,Nominal
497,294.87,28.06,10,0.014,17.01,Nominal
498,294.03,28.39,15,0.012,16.49,Nominal
499,294.27,28.75,13,0.021,15.81,Nominal
500,295.69,28.61,12,0.016,15.04,Nominal
501,295.45,28.55,17,0.017,15.21,Nominal
502,294.63,28.7,12,0.024,14.25,Nominal
503,294.23,28.6,16,0.014,13.55,Nominal
504,293.49,28.74,13,0.011,13.87,Nominal
505,294.69,28.68,18,0.015,15.05,Nominal
506,296.16,28.8,16,0.007,14.71,Nominal
507,295.15,28.57,12,0.011,13.53,Nominal
508,294.65,28.68,13,0.007,14.96,Nominal
509,295.15,28.44,16,0.012,14.68,Nominal
510,294.13,28.38,14,0.007,13.83,Nominal
511,294.75,28.84,14,0.007,14.63,Nominal
512,294.94,28.54,17,0.012,14.68,Nominal
513,294.83,28.66,13,0.009,14.38,Nominal
514,295.26,28.52,15,0.0,15.93,Nominal
515,295.03,28.38,16,0.003,13.1,Nominal
516,295.18,28.5,16,0.004,13.01,Nominal
517,294.49,28.79,999,0.006,20.0,ANOMALY
518,295.28,28.61,999,0.012,20.13,ANOMALY
519,295.63,28.16,999,0.011,20.46,ANOMALY
520,294.32,28.46,999,0.015,19.55,ANOMALY
521,294.35,28.86,999,0.014,19.2,ANOMALY
522,295.46,28.46,999,0.015,20.14,ANOMALY
523,294.68,28.14,999,0.013,19.74,ANOMALY
524,295.47,28.88,999,0.011,21.76,ANOMALY
525,294.54,28.64,999,0.015,19.92,ANOMALY
526,295.47,28.49,999,0.015,20.22,ANOMALY
527,294.8,28.43,999,0.012,22.78,ANOMALY
528,294.86,28.72,999,0.016,20.14,ANOMALY
529,295.5,28.39,999,0.002,20.92,ANOMALY
530,294.53,28.73,999,0.009,21.04,ANOMALY
531,294.23,28.61,999,0.008,21.16,ANOMALY
532,294.46,28.55,999,0.016,20.74,ANOMALY
533,294.9,28.53,999,0.018,20.68,ANOMALY
534,293.88,28.47,999,0.003,20.62,ANOMALY
535,294.98,28.71,999,0.017,19.97,ANOMALY
536,294.38,28.33,999,0.004,20.9,ANOMALY
537,295.21,28.18,999,0.004,22.64,ANOMALY
538,293.43,28.62,999,0.009,21.85,ANOMALY
539,294.22,28.63,999,0.008,20.97,ANOMALY
540,293.76,28.6,999,0.002,21.55,ANOMALY
541,294.18,28.58,999,0.013,19.86,ANOMALY
542,294.71,28.44,999,0.013,20.5,ANOMALY
543,294.49,28.66,999,0.015,21.74,ANOMALY
544,294.44,28.49,999,0.008,22.31,ANOMALY
545,294.48,28.4,999,0.01,20.08,ANOMALY
546,294.65,28.44,999,0.01,20.4,ANOMALY
547,294.03,28.9,999,0.018,23.09,ANOMALY
548,294.88,28.15,999,0.004,21.04,ANOMALY
549,294.85,28.6,999,0.005,22.79,ANOMALY
550,294.7,28.16,999,0.01,21.21,ANOMALY
551,294.78,28.48,999,0.005,21.28,ANOMALY
